mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,rms,label
-382.6065979003906,139.88265991210938,-5.814571857452393,40.564754486083984,-13.730928421020508,20.443784713745117,-13.174732208251953,0.541344404220581,-13.763915061950684,-5.974898338317871,-10.342034339904785,2.146843671798706,-4.781370639801025,0.016755085438489914,0.0
-415.5426940917969,142.2058563232422,-8.118446350097656,52.18154525756836,-15.031627655029297,29.550281524658203,-16.602182388305664,13.006241798400879,-14.517441749572754,-5.56019926071167,-7.875224590301514,-2.566969871520996,-2.8052756786346436,0.010560145601630211,1.0
-332.4525451660156,128.15576171875,-1.847601294517517,46.06194305419922,-8.218088150024414,1.6355091333389282,-13.224924087524414,-0.32675570249557495,-14.855256080627441,-5.446046829223633,-15.239234924316406,-1.9909592866897583,-2.8291285037994385,0.04264446720480919,1.0
-375.0571594238281,138.93463134765625,2.44627046585083,45.9543571472168,-7.305393695831299,9.45384407043457,-11.89104175567627,2.2943058013916016,-12.593761444091797,-3.3176140785217285,-10.739784240722656,-3.8099255561828613,-5.394430160522461,0.024256903678178787,1.0
-320.53045654296875,121.47616577148438,1.4815406799316406,35.62908935546875,-2.746642589569092,-0.08669175207614899,-12.15139102935791,-2.3863186836242676,-12.205209732055664,-7.384037971496582,-14.080758094787598,-4.745556354522705,-7.49338960647583,0.05333774909377098,1.0
-324.4799499511719,128.7921142578125,-4.003769874572754,39.86835479736328,-9.80920696258545,3.6248278617858887,-16.532272338867188,0.7362582683563232,-11.600558280944824,-6.127251148223877,-16.117599487304688,-2.236597776412964,-1.8221789598464966,0.050970498472452164,0.0
-363.8451843261719,135.16162109375,-3.150681972503662,46.679500579833984,-7.767388343811035,5.04727029800415,-12.677574157714844,2.8650588989257812,-14.040677070617676,-7.891815662384033,-14.489034652709961,-2.588209629058838,-4.153674125671387,0.02800586260855198,0.0
-396.986083984375,145.52659606933594,-4.490057468414307,47.90337371826172,-8.772529602050781,14.094717979431152,-16.267120361328125,6.917688369750977,-12.18722152709961,-5.298488616943359,-11.211852073669434,-6.032100677490234,-4.913743019104004,0.015987232327461243,1.0
-322.8955078125,122.33594512939453,-4.254794120788574,47.40837097167969,-11.337682723999023,7.449806213378906,-15.638788223266602,-0.2276371717453003,-19.21385955810547,-1.473862648010254,-12.182794570922852,-3.9184842109680176,-3.5069804191589355,0.044649455696344376,1.0
-362.8729553222656,128.9281768798828,-0.0796453207731247,47.085205078125,-9.786080360412598,11.546076774597168,-18.760692596435547,3.183919906616211,-15.015530586242676,-3.533635377883911,-10.156704902648926,-3.6226022243499756,-4.415550708770752,0.02111731469631195,1.0
-336.3425598144531,119.18140411376953,1.3855139017105103,39.72187042236328,-7.608975410461426,8.764467239379883,-13.846080780029297,-1.7878168821334839,-15.149953842163086,-2.579922676086426,-12.72998046875,-4.891791343688965,-4.978837013244629,0.048354148864746094,1.0
-360.70623779296875,125.97848510742188,-1.776135802268982,47.253326416015625,-10.824637413024902,12.863865852355957,-11.804852485656738,-0.705458402633667,-14.814591407775879,-1.5719499588012695,-13.079537391662598,-3.653064489364624,-4.384913444519043,0.03112872503697872,0.0
-382.6115417480469,123.931884765625,6.485024452209473,45.313011169433594,-3.0234622955322266,11.29729175567627,-13.966099739074707,-3.41715145111084,-11.09992790222168,-2.3946664333343506,-13.702635765075684,-3.7002639770507812,-3.8062567710876465,0.017659852281212807,0.0
-425.7085266113281,146.947509765625,-8.536550521850586,59.774600982666016,-13.339142799377441,27.063983917236328,-21.896684646606445,9.69898509979248,-18.39497947692871,-2.21909236907959,-8.498958587646484,-5.133634567260742,-1.9089405536651611,0.010628634132444859,1.0
-352.3785095214844,134.04579162597656,-26.14198875427246,53.61307907104492,-7.220922946929932,17.51862335205078,-24.13109588623047,3.4081673622131348,-7.435347080230713,-1.6134366989135742,-13.98887825012207,2.588052988052368,-5.8284525871276855,0.022004565224051476,1.0
-345.1605224609375,140.10043334960938,-25.758115768432617,40.731929779052734,-0.6592895984649658,20.289024353027344,-25.52751350402832,-4.335314750671387,-9.626544952392578,-1.0147701501846313,-12.05013656616211,1.6983493566513062,-4.983054161071777,0.02701440081000328,1.0
